Timestamp,How much do you like to solve complex mathematical problems?,How much do you like being the center of attention?  ,How much do you try to follow the rules?,Do you fear for the worst?,Do you get irritated easily?  ,Are you afraid of doing the wrong thing?,Are you able to warm up others quickly? ,"Do you like lots of fun?	",Are you able to talk while doing some work? ,Do you like to get lost in thoughts?,What would you do if you saw some slovenly cards? ,What will you think first after watching an ant's queue?,What will be your inner thought if you see a little boy crying after an accident?,What time of the day is your favorite to solve complex problems,Do you want to have a pet?,What would you do if you see some boys making noise? ,What was your favorite subject at Primary school?,What is/was the teaching area of your favorite teacher?,What is your favorite study area?,What types of class environment do you like most? ,What is the most important supporting factor for a good story book without a storyline?,What is most important for going School? ,Which one of the following is most important for a human?,What did you like to do before going to school?,What do you like to do during a break time?,Do you like yourself?,Do you try to lead others?,Do you feel others' emotions?,Do you love to read challenging materials?,Do you believe that there is no absolute right or wrong?,Do you dislike talking about yourself?,Do you prefer to isolate yourself from outside noises?,Do you think that almost everything can be analyzed?,Do you  feel at ease in a crowd?,Do you feel comfortable to communicate in social situations?,Are you always looking for opportunities?,Are you easily affected by strong emotions?,Do you find it difficult to talk about your feelings?,Do you easily understand new theoretical principles?,Do you manage to stay calm under a lot of pressure?,Do you always know exactly what you want?,Does your mood change rapidly?,Do you feel insecure?,Do you like any order or sequence?,Do you enjoy daydreaming?,Your Profession
"5/20/2023 11:56:35 PM +07:00",1,2,2,Yes,No,Yes,Yes,No,Yes,No,Make them ordered,Strength and nature of ants,Cure for this injury,Morning,No,Ignore them,Bangla,Mathematics,Mathematics,Formal,Paper,Mindset to go to school,Fresh Mind,Eating,Browsing Internet,Yes,Yes,Not sure,Yes,Not sure,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Not sure,No,Yes,Yes,Yes,Yes,Business Related Profession
"5/20/2023 11:56:35 PM +07:00",1,0,2,No,No,Yes,No,Yes,Not sure,Yes,Make them ordered,Discipline of ants,Cure for this injury,Night,Not sure,Ignore them,Mathematics,Chemistry,Programming,Informative,Font,Mindset to go to school,Fresh Mind,Relaxing,Relaxing,Yes,Yes,Not sure,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",2,2,1,No,No,Yes,Yes,Yes,Not sure,Yes,Make them ordered,Strength and nature of ants,Cure for this injury,Morning,Yes,Ignore them,Mathematics,Programming,Programming,Informative,Paper,Dressed up accordingly,Fresh Mind,Taking bath,Relaxing,Yes,Not sure,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Not sure,Not sure,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",2,0,2,Not sure,No,Yes,No,Yes,Yes,No,Make them ordered,Strength and nature of ants,Cure for this injury,Night,No,Make them quite,Sceince,Chemistry,Programming,Informative,Paper,Mindset to go to school,Healthy Body,Eating,Playing,Yes,Yes,Yes,Yes,Yes,Yes,No,Not sure,Yes,Yes,Not sure,Not sure,Yes,No,No,Yes,Yes,Not sure,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,No,No,Yes,No,Yes,Yes,No,Make them ordered,Discipline of ants,Cure for this injury,Morning,Yes,Make them quite,Sceince,Programming,Biology,Funny,Paper,Dressed up accordingly,Healthy Body,Eating,Relaxing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Not sure,Yes,Yes,No,Not sure,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",2,0,2,Yes,No,Yes,Yes,Yes,Not sure,No,Ignore them,Strength and nature of ants,Cure for this injury,Night,Yes,Make them quite,Mathematics,Programming,Programming,Informative,Color,Mindset to go to school,Fresh Mind,Relaxing,Playing,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Not sure,No,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,Not sure,No,No,Yes,Yes,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,Not sure,Make them quite,Sceince,Biology,Biology,Formal,Paper,Mindset to go to school,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",2,1,0,Not sure,No,Yes,Not sure,Not sure,No,Yes,Just keep them in a pile,Discipline of ants,Cure for this injury,Morning,No,Make them quite,Mathematics,Physics,Programming,Informative,Paper,Mindset to go to school,Healthy Body,Eating,Watching TV,Yes,No,Yes,Not sure,Yes,Yes,Yes,Yes,No,Yes,Yes,Not sure,Yes,No,No,Not sure,No,No,Not sure,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,2,1,Yes,Yes,Yes,No,Yes,Not sure,No,Ignore them,Count of ants,Cure for this injury,Morning,No,Ignore them,Sceince,Mathematics,Business Studies,Funny,Paper,Mindset to go to school,Healthy Brain,Eating,Playing,Yes,Yes,Not sure,Yes,Not sure,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Not sure,Yes,Yes,Yes,Yes,Yes,Business Related Profession
"5/20/2023 11:56:35 PM +07:00",1,1,1,No,Not sure,Yes,Yes,No,Yes,Yes,Ignore them,Strength and nature of ants,Cure for this injury,Night,No,Ignore them,Bangla,Chemistry,Business Studies,Funny,Color,Dressed up accordingly,Healthy Body,Eating,Sleeping,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Not sure,Not sure,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ignore them,Strength and nature of ants,How to prevent him from get injured in future,Morning,Yes,Ignore them,Mathematics,Programming,Business Studies,Informative,Paper,Mindset to go to school,Healthy Body,Sleeping,Relaxing,Yes,No,Yes,Not sure,No,Yes,Yes,Yes,No,Yes,No,Not sure,Yes,No,No,No,Yes,No,Not sure,No,Engineer
"5/20/2023 11:56:35 PM +07:00",2,0,1,Yes,Yes,Not sure,No,Not sure,No,Yes,Make them ordered,Strength and nature of ants,How to prevent him from get injured in future,Night,No,Ignore them,Drawing,Physics,Programming,Informative,Paper,Dressed up accordingly,Fresh Mind,Reading,Playing,Yes,No,Yes,Yes,Yes,Yes,Not sure,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,Not sure,No,No,Yes,Not sure,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,No,Make them quite,Sceince,Biology,Biology,Formal,Paper,Dressed up accordingly,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,Not sure,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",1,1,2,Not sure,No,No,Yes,Yes,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,No,Make them quite,Sceince,Biology,Biology,Formal,Paper,Dressed up accordingly,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",1,2,2,Not sure,No,No,Yes,Yes,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,No,Make them quite,Drawing,Biochemistry,Biology,Formal,Paper,Dressed up accordingly,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,Not sure,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",2,0,1,No,Yes,Yes,No,Yes,No,Yes,Just keep them in a pile,Discipline of ants,Cure for this injury,Morning,Yes,Ignore them,Other,Other,Chemistry,Informative,Paper,Dressed up accordingly,Fresh Mind,Taking bath,Relaxing,Yes,Yes,No,No,Yes,Not sure,No,Yes,No,No,Yes,Not sure,Yes,Yes,Yes,No,No,No,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,Not sure,No,No,Yes,Yes,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,No,Make them quite,Sceince,Biochemistry,Biology,Formal,Paper,Mindset to go to school,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",1,1,1,Yes,No,Yes,Not sure,Yes,Yes,Yes,Make them ordered,Count of ants,How to prevent him from get injured in future,Morning,Not sure,Make them quite,English,Other,Other,Funny,Font,Mindset to go to school,Fresh Mind,Eating,Playing,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Engineer
"5/20/2023 11:56:35 PM +07:00",1,0,2,Yes,No,Not sure,Yes,Yes,No,Yes,Ignore them,Strength and nature of ants,What was his mistake,Morning,No,Ignore them,Mathematics,Programming,literature,Funny,Paper,Mindset to go to school,Healthy Body,Taking bath,Playing,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Not sure,Not sure,Engineer
"5/20/2023 11:56:35 PM +07:00",2,1,2,Not sure,No,Yes,Not sure,Yes,Yes,Yes,Just keep them in a pile,Discipline of ants,How to prevent him from get injured in future,Morning,No,Ignore them,Mathematics,Chemistry,Programming,Informative,Font,Mindset to go to school,Healthy Body,Sleeping,Relaxing,Yes,Not sure,Yes,Not sure,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,1,No,No,No,Yes,Yes,No,Yes,Make them ordered,Strength and nature of ants,How to prevent him from get injured in future,Night,No,Search for a pattern in the noise,Bangla,literature,Programming,Informative,Paper,Mindset to go to school,Fresh Mind,Eating,Relaxing,Yes,No,Yes,Yes,Yes,Yes,No,Not sure,No,No,Not sure,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Not sure,Engineer
"5/20/2023 11:56:35 PM +07:00",2,1,2,No,No,No,Not sure,Yes,Yes,Yes,Make them ordered,Discipline of ants,What was his mistake,Morning,No,Ignore them,Other,Mathematics,Biology,Funny,Paper,Mindset to go to school,Healthy Body,Sleeping,Reading,Yes,No,Not sure,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,No,No,No,Yes,No,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,Not sure,No,No,Not sure,Yes,Not sure,No,Make them ordered,Strength and nature of ants,Cure for this injury,Night,No,Search for a pattern in the noise,Other,Physics,Programming,Informative,Font,Mindset to go to school,Healthy Body,Sleeping,Browsing Internet,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,Not sure,No,No,Yes,Not sure,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,Not sure,Make them quite,Drawing,Biochemistry,Biology,Formal,Paper,Mindset to go to school,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",2,2,2,No,No,No,No,Yes,Yes,Yes,Just keep them in a pile,Strength and nature of ants,How to prevent him from get injured in future,Night,No,Ignore them,Religious Studies,literature,Physics,Funny,Paper,Mindset to go to school,Fresh Mind,Eating,Sleeping,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Engineer
"5/20/2023 11:56:35 PM +07:00",1,2,2,Yes,Yes,Yes,No,Yes,Yes,No,Ignore them,Strength and nature of ants,How to prevent him from get injured in future,Morning,Yes,Ignore them,Bangla,Business Studies,Business Studies,Formal,Paper,Mindset to go to school,Healthy Brain,Eating,Playing,Yes,Yes,Not sure,Yes,Not sure,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Business Related Profession
2020/11/18 12:58:58 AM GMT+7,0,0,0,No,No,Yes,Not sure,Yes,Yes,Yes,Ignore them,Discipline of ants,Cure for this injury,Night,Not sure,Make them quite,Sceince,literature,Programming,Funny,Font,Mindset to go to school,Healthy Brain,Sleeping,Playing,Yes,No,Not sure,Not sure,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,Not sure,No,No,Yes,Not sure,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,Not sure,Make them quite,Drawing,Biochemistry,Biology,Formal,Paper,Dressed up accordingly,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",2,1,1,Yes,No,Yes,No,Yes,Yes,No,Make them ordered,Discipline of ants,Cure for this injury,Night,No,Ignore them,Mathematics,Physics,Mathematics,Funny,Paper,Mindset to go to school,Healthy Body,Reading,Playing,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Not sure,Not sure,Yes,Yes,Yes,No,No,Engineer
"5/20/2023 11:56:35 PM +07:00",1,0,2,Yes,No,Not sure,Yes,Yes,No,Yes,Ignore them,Strength and nature of ants,What was his mistake,Morning,No,Ignore them,Mathematics,Programming,literature,Funny,Paper,Mindset to go to school,Healthy Body,Taking bath,Playing,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Not sure,Not sure,Engineer
"5/20/2023 11:56:35 PM +07:00",1,0,2,No,Not sure,Yes,No,Yes,Yes,Yes,Just keep them in a pile,Discipline of ants,What was his mistake,Night,Yes,Ignore them,Religious Studies,Programming,Physics,Funny,Paper,Dressed up accordingly,Fresh Mind,Sleeping,Browsing Internet,Not sure,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not sure,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,2,No,Yes,Yes,Yes,Not sure,Not sure,No,Just keep them in a pile,Strength and nature of ants,How to prevent him from get injured in future,Night,Yes,Ignore them,Bangla,Programming,Programming,Funny,Paper,Mindset to go to school,Healthy Brain,Eating,Relaxing,Yes,No,Yes,Not sure,No,No,Yes,No,No,Yes,Not sure,No,No,Yes,Yes,No,No,Yes,No,No,Business Related Profession
"5/20/2023 11:56:35 PM +07:00",1,1,1,Yes,Yes,Yes,Not sure,Yes,No,Yes,Just keep them in a pile,Strength and nature of ants,How to prevent him from get injured in future,Morning,No,Ignore them,Sceince,Mathematics,Programming,Funny,Color,Mindset to go to school,Fresh Mind,Sleeping,Other,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,2,2,Not sure,No,No,Yes,Not sure,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,Not sure,Make them quite,Sceince,Biology,Biology,Formal,Paper,Dressed up accordingly,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,Not sure,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",0,2,2,Not sure,Yes,No,No,Not sure,Yes,No,Ignore them,Count of ants,Cure for this injury,Night,Yes,Ignore them,Sceince,Other,Programming,Funny,Paper,Mindset to go to school,Healthy Body,Eating,Playing,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Not sure,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,1,No,Yes,Yes,Yes,Yes,No,Yes,Make them ordered,Strength and nature of ants,Cure for this injury,Morning,No,Search for a pattern in the noise,Mathematics,Programming,Physics,Informative,Paper,Mindset to go to school,Fresh Mind,Taking bath,Browsing Internet,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,0,2,No,Yes,No,Not sure,Yes,Not sure,No,Ignore them,Count of ants,Cure for this injury,Morning,No,Search for a pattern in the noise,Mathematics,Mathematics,Business Studies,Informative,Paper,Mindset to go to school,Healthy Body,Eating,Playing,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,No,Yes,Yes,Not sure,No,Yes,No,No,Not sure,Not sure,No,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,1,1,Not sure,Yes,No,Yes,Not sure,No,Not sure,Make them ordered,Strength and nature of ants,Cure for this injury,Morning,Not sure,Ignore them,Mathematics,Chemistry,Programming,Funny,Paper,Dressed up accordingly,Fresh Mind,Eating,Browsing Internet,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not sure,Yes,Not sure,No,No,Yes,Yes,Yes,No,Engineer
"5/20/2023 11:56:35 PM +07:00",1,2,2,Yes,No,Yes,No,No,Not sure,No,Ignore them,Strength and nature of ants,How to prevent him from get injured in future,Night,Yes,Ignore them,Sceince,Business Studies,Business Studies,Funny,Paper,Mindset to go to school,Fresh Mind,Eating,Browsing Internet,Yes,Yes,Not sure,Yes,Not sure,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,No,Business Related Profession
"5/20/2023 11:56:35 PM +07:00",1,2,2,Yes,Yes,Yes,Yes,No,Yes,No,Make them ordered,Count of ants,Cure for this injury,Morning,Yes,Ignore them,Bangla,Mathematics,Business Studies,Funny,Paper,Mindset to go to school,Healthy Brain,Eating,Playing,Yes,Yes,Not sure,Yes,Not sure,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Business Related Profession
"5/20/2023 11:56:35 PM +07:00",1,1,2,Not sure,No,No,Yes,Yes,Yes,No,Just keep them in a pile,Strength and nature of ants,Cure for this injury,Morning,Not sure,Make them quite,Sceince,Biology,Biology,Formal,Paper,Dressed up accordingly,Healthy Body,Relaxing,Relaxing,Yes,Yes,Yes,Not sure,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Not sure,Not sure,Doctor
"5/20/2023 11:56:35 PM +07:00",1,2,2,Yes,Yes,Yes,Yes,No,Not sure,No,Make them ordered,Count of ants,Cure for this injury,Night,No,Ignore them,Sceince,Mathematics,Mathematics,Formal,Paper,Mindset to go to school,Fresh Mind,Eating,Browsing Internet,Yes,Yes,Not sure,Yes,Not sure,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Business Related Profession
"5/20/2023 11:56:35 PM +07:00",1,0,0,Not sure,No,No,Yes,Yes,No,Yes,Make them ordered,Strength and nature of ants,Cure for this injury,Night,Yes,Ignore them,Mathematics,literature,Biology,Informative,Paper,Mindset to go to school,Fresh Mind,Relaxing,Watching TV,Yes,Yes,Yes,Yes,Not sure,No,No,Yes,Yes,Yes,Not sure,No,Yes,No,No,Not sure,Yes,No,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",2,2,2,No,No,Yes,No,Yes,Yes,Yes,Just keep them in a pile,Discipline of ants,Cure for this injury,Night,No,Ignore them,Mathematics,literature,Physics,Funny,Font,Mindset to go to school,Healthy Body,Reading,Relaxing,Yes,Yes,Not sure,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Engineer
"5/20/2023 11:56:35 PM +07:00",1,2,2,Yes,Yes,Yes,No,Yes,Yes,No,Make them ordered,Count of ants,How to prevent him from get injured in future,Night,No,Ignore them,Bangla,Mathematics,Business Studies,Funny,Paper,Mindset to go to school,Fresh Mind,Eating,Browsing Internet,Yes,Yes,Yes,Yes,Not sure,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Business Related Profession
